path,status,schema,name,distance_type,return_to_depot,seed,depot_count,customer_count,salesmen_count,node_count,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,warnings_count,errors_count,warnings,errors
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i01_c10_d1_m3_random.json,ok,new,group_01_instance_01_customers_10_depots_1_salesmen_3_random,euclidean,True,911093446,1,10,3,11,119.15145985828124,62.50578424367048,960.0586004608895,839.5366983524461,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i02_c10_d1_m3_random.json,ok,new,group_01_instance_02_customers_10_depots_1_salesmen_3_random,euclidean,True,1006785947,1,10,3,11,55.61920325311576,136.68633958865107,966.6835765239764,936.2829084791163,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i03_c10_d2_m6_random.json,ok,new,group_01_instance_03_customers_10_depots_2_salesmen_6_random,euclidean,True,1562776444,2,10,6,12,8.167059564047396,18.0677703907538,950.2579626843672,938.0268678415297,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i04_c10_d2_m5_random.json,ok,new,group_01_instance_04_customers_10_depots_2_salesmen_5_random,euclidean,True,450270022,2,10,5,12,71.05317158421254,21.58376101987869,897.2876960771245,966.8202559850865,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i05_c10_d2_m4_random.json,ok,new,group_01_instance_05_customers_10_depots_2_salesmen_4_random,euclidean,True,1001589665,2,10,4,12,78.23516357818261,28.294312329749328,874.8226643796472,991.3758913111509,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i06_c10_d3_m4_random.json,ok,new,group_01_instance_06_customers_10_depots_3_salesmen_4_random,euclidean,True,332862782,3,10,4,13,17.047574485253403,169.17974924475942,971.7556884734056,951.261460985801,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i07_c10_d3_m5_random.json,ok,new,group_01_instance_07_customers_10_depots_3_salesmen_5_random,euclidean,True,604686583,3,10,5,13,26.677193323392466,40.600157940336224,913.2018205860644,876.1501697995377,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i08_c10_d2_m2_random.json,ok,new,group_01_instance_08_customers_10_depots_2_salesmen_2_random,euclidean,True,227280617,2,10,2,12,70.77472876246426,37.025015473406086,933.5288236736513,979.7555385495018,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i09_c10_d3_m3_random.json,ok,new,group_01_instance_09_customers_10_depots_3_salesmen_3_random,euclidean,True,1823310911,3,10,3,13,217.9493091336011,54.96501105834917,961.9080095453561,969.1446525256586,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_01/g01_i10_c10_d1_m1_random.json,ok,new,group_01_instance_10_customers_10_depots_1_salesmen_1_random,euclidean,True,2129826785,1,10,1,11,88.56283518787666,164.69661216142018,991.6348958973617,755.6561395371255,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i01_c50_d5_m23_random.json,ok,new,group_02_instance_01_customers_50_depots_5_salesmen_23_random,euclidean,True,1172826122,5,50,23,55,8.12754689824291,0.8862963091617049,967.6821512927418,997.0585930535877,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i02_c50_d3_m3_random.json,ok,new,group_02_instance_02_customers_50_depots_3_salesmen_3_random,euclidean,True,966324588,3,50,3,53,1.859544326091922,15.74184106787435,961.5568455799339,987.0124093206213,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i03_c50_d4_m19_random.json,ok,new,group_02_instance_03_customers_50_depots_4_salesmen_19_random,euclidean,True,281163575,4,50,19,54,72.4382032947165,31.024541043633725,992.0528152124606,994.9342334601982,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i04_c50_d4_m10_random.json,ok,new,group_02_instance_04_customers_50_depots_4_salesmen_10_random,euclidean,True,893755755,4,50,10,54,40.957715109513735,72.4628619842852,974.0186064869885,997.6887388480628,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i05_c50_d3_m7_random.json,ok,new,group_02_instance_05_customers_50_depots_3_salesmen_7_random,euclidean,True,1006432181,3,50,7,53,0.32306491278633054,4.930739894526193,947.0177381198226,953.4709868346134,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i06_c50_d4_m6_random.json,ok,new,group_02_instance_06_customers_50_depots_4_salesmen_6_random,euclidean,True,57600137,4,50,6,54,0.0909861020849112,34.44105576021017,929.5235017446174,984.3311712486939,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i07_c50_d4_m5_random.json,ok,new,group_02_instance_07_customers_50_depots_4_salesmen_5_random,euclidean,True,1959992828,4,50,5,54,13.50870476367727,31.298792253316996,976.6403377635976,998.462475073515,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i08_c50_d4_m11_random.json,ok,new,group_02_instance_08_customers_50_depots_4_salesmen_11_random,euclidean,True,1415371103,4,50,11,54,7.098433290052442,15.114434105544362,988.2700148704907,972.5793842757253,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i09_c50_d5_m10_random.json,ok,new,group_02_instance_09_customers_50_depots_5_salesmen_10_random,euclidean,True,1549427463,5,50,10,55,25.436237660879215,0.071028222171865,999.9254623617674,991.4737384259234,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_02/g02_i10_c50_d4_m20_random.json,ok,new,group_02_instance_10_customers_50_depots_4_salesmen_20_random,euclidean,True,1053926709,4,50,20,54,3.180344609900576,26.437884510578826,985.620863653938,989.1527323403549,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i01_c500_d5_m21_random.json,ok,new,group_03_instance_01_customers_500_depots_5_salesmen_21_random,euclidean,True,1815097820,5,500,21,505,1.8868832194970375,5.901006824200472,987.68569078415,999.819045794116,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i02_c500_d3_m10_random.json,ok,new,group_03_instance_02_customers_500_depots_3_salesmen_10_random,euclidean,True,1014080058,3,500,10,503,0.3775121987832364,2.0412346433578143,999.7685574798128,998.2960849016484,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i03_c500_d3_m12_random.json,ok,new,group_03_instance_03_customers_500_depots_3_salesmen_12_random,euclidean,True,826485606,3,500,12,503,3.1722199426255093,2.0089965610339267,999.3732045536253,998.7264215318474,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i04_c500_d5_m19_random.json,ok,new,group_03_instance_04_customers_500_depots_5_salesmen_19_random,euclidean,True,1559707259,5,500,19,505,3.944157166728912,0.39911092799094217,999.4582053706953,999.5348699567387,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i05_c500_d3_m6_random.json,ok,new,group_03_instance_05_customers_500_depots_3_salesmen_6_random,euclidean,True,537061682,3,500,6,503,1.3515687327129156,3.0069188606863806,997.2305117281036,991.6407868192023,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i06_c500_d3_m3_random.json,ok,new,group_03_instance_06_customers_500_depots_3_salesmen_3_random,euclidean,True,1606981140,3,500,3,503,1.8315216318350869,2.0536784579688883,999.1207621223833,998.6105632070128,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i07_c500_d5_m20_random.json,ok,new,group_03_instance_07_customers_500_depots_5_salesmen_20_random,euclidean,True,1594041862,5,500,20,505,6.756695444073868,2.9919444410847484,997.4217593905563,998.5909373416814,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i08_c500_d3_m7_random.json,ok,new,group_03_instance_08_customers_500_depots_3_salesmen_7_random,euclidean,True,1550714804,3,500,7,503,0.13608724036195952,1.100865660032202,999.804555977957,999.9257234902834,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i09_c500_d4_m8_random.json,ok,new,group_03_instance_09_customers_500_depots_4_salesmen_8_random,euclidean,True,2076735340,4,500,8,504,0.38680030340143556,2.097749293460849,998.6963828023407,998.4080299254019,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i10_c500_d5_m18_random.json,ok,new,group_03_instance_10_customers_500_depots_5_salesmen_18_random,euclidean,True,1020620849,5,500,18,505,0.029656713553039005,4.001014801102487,999.31660046663,998.5467388769767,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i11_c500_d4_m12_adversarial.json,ok,new,g03_i11_c500_d4_m12_adversarial,euclidean,,203600,4,500,12,504,40.0,40.0,960.0,927.312487,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i12_c500_d4_m13_adversarial.json,ok,new,g03_i12_c500_d4_m13_adversarial,euclidean,,203601,4,500,13,504,40.0,40.0,960.0,888.843858,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i13_c500_d4_m12_adversarial.json,ok,new,g03_i13_c500_d4_m12_adversarial,euclidean,,203600,4,500,12,504,40.0,40.0,960.0,927.312487,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i14_c500_d4_m13_adversarial.json,ok,new,g03_i14_c500_d4_m13_adversarial,euclidean,,203601,4,500,13,504,40.0,40.0,960.0,888.843858,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i15_c500_d5_m15_adversarial.json,ok,new,g03_i15_c500_d5_m15_adversarial,euclidean,,203602,5,500,15,505,40.0,40.0,960.0,827.021081,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i16_c500_d4_m12_adversarial.json,ok,new,g03_i16_c500_d4_m12_adversarial,euclidean,,203603,4,500,12,504,40.0,40.0,960.0,740.387097,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i17_c500_d4_m13_adversarial.json,ok,new,g03_i17_c500_d4_m13_adversarial,euclidean,,203604,4,500,13,504,40.0,40.0,960.0,791.431485,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i18_c500_d5_m15_adversarial.json,ok,new,g03_i18_c500_d5_m15_adversarial,euclidean,,203605,5,500,15,505,40.0,40.0,960.0,825.958073,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i19_c500_d4_m12_adversarial.json,ok,new,g03_i19_c500_d4_m12_adversarial,euclidean,,203606,4,500,12,504,40.0,40.0,960.0,804.039108,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i20_c500_d4_m13_adversarial.json,ok,new,g03_i20_c500_d4_m13_adversarial,euclidean,,203607,4,500,13,504,40.0,40.0,960.0,752.039051,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i21_c500_d5_m15_adversarial.json,ok,new,g03_i21_c500_d5_m15_adversarial,euclidean,,203608,5,500,15,505,40.0,40.0,960.0,805.834706,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i22_c500_d4_m12_adversarial.json,ok,new,g03_i22_c500_d4_m12_adversarial,euclidean,,203609,4,500,12,504,40.0,40.0,960.0,786.660692,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i23_c500_d4_m13_adversarial.json,ok,new,g03_i23_c500_d4_m13_adversarial,euclidean,,203610,4,500,13,504,40.0,40.0,960.0,960.0,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i24_c500_d5_m15_adversarial.json,ok,new,g03_i24_c500_d5_m15_adversarial,euclidean,,203611,5,500,15,505,40.0,40.0,960.0,960.0,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i25_c500_d4_m12_adversarial.json,ok,new,g03_i25_c500_d4_m12_adversarial,euclidean,,203612,4,500,12,504,40.0,40.0,960.0,408.0,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i26_c500_d5_m14_adversarial.json,ok,new,g03_i26_c500_d5_m14_adversarial,euclidean,,203613,5,500,14,505,40.0,40.0,960.0,473.714286,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i27_c500_d4_m12_adversarial.json,ok,new,g03_i27_c500_d4_m12_adversarial,euclidean,,203614,4,500,12,504,40.0,40.0,960.0,408.0,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i28_c500_d5_m14_adversarial.json,ok,new,g03_i28_c500_d5_m14_adversarial,euclidean,,203615,5,500,14,505,40.0,40.0,960.0,473.714286,0,0,,
/Users/mrggrm/Documents/GitHub/MDMTSP-HSE-RESEARCH/instances/research/group_03/g03_i29_c500_d4_m12_adversarial.json,ok,new,g03_i29_c500_d4_m12_adversarial,euclidean,,203616,4,500,12,504,40.0,40.0,960.0,408.0,0,0,,
